,brand,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,warranty,Touchscreen,msoffice,rating,Price,Number of Ratings,Number of Reviews
148,1,1,1,0,2,1,0,1,2,0,0,2,3,0,0,2,35590,12,1
149,4,1,1,0,2,1,0,1,2,1,0,2,0,0,1,2,36490,1146,175
150,1,1,1,0,2,1,0,1,2,1,0,2,0,0,1,3,38990,1850,216
151,1,1,1,0,2,1,0,1,2,0,0,2,3,0,0,2,33990,43,7
152,3,1,1,0,2,1,0,1,2,1,0,0,0,0,1,3,43400,231,26
153,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,3,24990,502,93
154,4,1,1,0,2,1,0,1,2,1,0,2,0,0,1,3,40750,1096,116
155,3,1,1,0,2,1,0,1,2,1,0,2,0,0,1,3,43000,313,35
156,1,1,1,0,2,1,0,1,2,1,0,0,3,0,0,3,38000,7,0
157,3,1,1,1,3,1,0,1,2,1,0,2,0,0,1,2,37990,265,46
158,4,1,1,4,3,1,0,1,2,1,1,0,3,0,0,3,49279,38,3
159,5,1,1,0,3,1,0,1,2,0,0,0,3,0,0,2,38999,7,2
160,1,1,1,1,3,1,0,1,2,0,0,0,3,0,0,2,41500,4,0
161,7,1,1,1,2,1,0,1,2,0,0,0,3,0,0,2,36999,0,0
162,3,1,1,1,3,1,0,1,2,0,0,0,3,0,0,2,42900,0,0
163,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,2,21490,818,113
164,3,1,1,1,3,1,0,1,2,0,0,0,3,0,0,2,41480,25,4
165,1,1,1,0,3,1,0,1,2,1,0,0,3,0,0,1,32990,12,0
166,1,1,1,1,3,1,0,1,2,1,0,0,0,0,0,2,38680,17,1
167,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,3,23990,974,170
168,3,1,1,0,3,1,0,1,2,1,0,2,3,0,0,2,40390,83,15
169,1,1,1,0,2,1,0,1,2,1,0,2,3,0,0,2,33990,31,6
170,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,2,20490,637,91
171,3,1,1,0,3,1,4,1,2,1,0,2,0,0,1,4,41490,7,5
172,3,1,1,1,3,1,4,1,2,1,0,0,3,0,0,3,45490,207,16
173,3,1,1,1,3,1,4,1,2,1,0,0,3,0,0,3,44490,844,103
174,1,1,1,1,3,1,4,1,2,1,0,0,0,0,1,3,41890,53,6
175,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,3,42990,62,7
176,7,1,1,1,3,1,4,1,2,1,0,0,3,0,0,3,40990,38,2
177,3,1,1,1,3,1,4,1,2,1,0,2,0,0,0,3,48990,724,92
178,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,2,43590,0,0
179,3,1,1,0,2,1,4,1,2,1,0,0,0,0,0,3,44690,9,0
180,1,1,1,0,2,1,4,1,2,1,0,0,3,0,0,2,40990,0,0
181,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,2,43990,0,0
183,3,1,1,0,2,1,4,1,2,1,0,2,0,0,1,3,41390,56,7
184,3,1,1,0,2,1,4,1,2,1,0,2,0,0,1,2,44290,0,0
185,3,1,1,1,2,1,4,1,2,1,0,0,0,0,0,2,48999,0,0
186,3,1,1,1,2,1,4,1,2,1,0,2,0,0,1,2,39990,170,11
187,3,1,1,0,3,1,4,1,2,1,0,2,3,0,0,1,46390,95,5
188,1,1,0,7,2,4,0,3,2,1,0,0,3,0,0,2,18990,197,25
189,1,1,0,7,2,4,0,3,2,0,0,0,3,0,0,2,17990,1180,148
190,4,1,0,7,2,1,0,3,2,1,0,0,3,0,0,2,26470,232,23
191,4,1,0,7,2,1,0,3,2,1,0,0,3,0,0,2,27990,596,65
192,5,1,0,7,2,1,0,1,2,0,0,0,3,0,0,2,29999,19,1
193,5,1,0,7,2,5,0,3,2,1,0,0,3,0,0,2,25990,84,16
194,5,1,0,7,2,4,0,3,2,0,0,0,3,0,0,2,16990,414,54
195,5,1,0,7,2,4,0,3,2,0,0,0,3,0,0,1,24990,70,16
196,7,1,2,7,3,2,0,3,2,0,2,0,3,0,0,3,50990,10966,1185
197,7,1,2,7,3,4,0,3,2,0,0,0,0,0,0,3,119990,1,1
198,7,1,2,0,3,4,0,3,0,0,0,0,3,0,0,3,94190,31,6
199,1,1,2,0,3,4,0,3,0,0,2,0,3,0,0,3,106167,1881,241
200,3,1,2,0,3,4,0,3,0,0,2,0,0,0,0,0,68090,23,4
201,3,1,2,0,3,4,0,3,0,0,0,2,0,0,0,2,139990,0,0
202,4,1,2,0,3,4,0,3,0,0,0,2,3,0,0,3,55990,818,109
203,4,1,2,0,3,4,0,3,0,0,2,0,3,0,0,2,102551,0,0
204,5,1,2,0,3,4,0,3,0,0,1,0,3,0,0,3,46990,4428,569
205,4,1,2,5,3,1,2,0,2,1,0,2,0,0,0,3,76012,129,16
206,5,1,2,1,3,1,4,0,2,1,0,0,1,0,1,3,49490,365,35
207,7,1,2,4,3,0,4,0,2,1,0,2,0,0,1,3,86867,39,3
208,1,1,2,1,3,1,4,0,2,1,0,2,0,0,0,2,48990,0,0
